raw_symbol,instrument_id,date
NQZ0-NQZ1,619132,2010-12-03
NQZ0-NQZ1,619132,2010-12-04
NQZ0-NQZ1,619132,2010-12-05
NQZ0-NQZ1,619132,2010-12-06
NQZ0-NQZ1,619132,2010-12-07
NQZ0-NQZ1,619132,2010-12-08
NQZ0-NQZ1,619132,2010-12-09
NQZ0-NQZ1,619132,2010-12-10
NQZ0-NQZ1,619132,2010-12-11
NQZ0-NQZ1,619132,2010-12-12
NQZ0-NQZ1,619132,2010-12-13
NQZ0-NQZ1,619132,2010-12-14
NQZ0-NQZ1,619132,2010-12-15
NQZ0-NQZ1,619132,2010-12-16
NQZ0-NQZ1,619132,2010-12-17
NQZ0-NQZ1,619132,2010-12-18
NQZ0-NQZ1,619132,2010-12-19
NQZ0-NQZ1,619132,2010-12-20
NQZ0-NQZ1,619132,2010-12-21
NQZ0-NQZ1,619132,2010-12-22
NQZ0-NQZ1,619132,2010-12-23
NQZ0-NQZ1,619132,2010-12-24
NQZ0-NQZ1,619132,2010-12-25
NQZ0-NQZ1,619132,2010-12-26
NQZ0-NQZ1,619132,2010-12-27
NQZ0-NQZ1,619132,2010-12-28
NQZ0-NQZ1,619132,2010-12-29
NQZ0-NQZ1,619132,2010-12-30
NQZ0-NQZ1,619132,2010-12-31
NQZ0-NQZ1,619132,2011-01-01
NQZ0-NQZ1,619132,2011-01-02
NQZ0-NQZ1,619132,2011-01-03
NQZ0-NQZ1,619132,2011-01-04
NQZ0-NQZ1,619132,2011-01-05
NQZ0-NQZ1,619132,2011-01-06
NQZ0-NQZ1,619132,2011-01-07
NQZ0-NQZ1,619132,2011-01-08
NQZ0-NQZ1,619132,2011-01-09
NQZ0-NQZ1,619132,2011-01-10
NQZ0-NQZ1,619132,2011-01-11
NQZ0-NQZ1,619132,2011-01-12
NQZ0-NQZ1,619132,2011-01-13
NQZ0-NQZ1,619132,2011-01-14
NQZ0-NQZ1,619132,2011-01-15
NQZ0-NQZ1,619132,2011-01-16
NQZ0-NQZ1,619132,2011-01-17
NQZ0-NQZ1,619132,2011-01-18
NQZ0-NQZ1,619132,2011-01-19
NQZ0-NQZ1,619132,2011-01-20
NQZ0-NQZ1,619132,2011-01-21
NQZ0-NQZ1,619132,2011-01-22
NQZ0-NQZ1,619132,2011-01-23
NQZ0-NQZ1,619132,2011-01-24
NQZ0-NQZ1,619132,2011-01-25
NQZ0-NQZ1,619132,2011-01-26
NQZ0-NQZ1,619132,2011-01-27
NQZ0-NQZ1,619132,2011-01-28
NQZ0-NQZ1,619132,2011-01-29
NQZ0-NQZ1,619132,2011-01-30
NQZ0-NQZ1,619132,2011-01-31
NQZ0-NQZ1,619132,2011-02-01
NQZ0-NQZ1,619132,2011-02-02
NQZ0-NQZ1,619132,2011-02-03
NQZ0-NQZ1,619132,2011-02-04
NQZ0-NQZ1,619132,2011-02-05
NQZ0-NQZ1,619132,2011-02-06
NQZ0-NQZ1,619132,2011-02-07
NQZ0-NQZ1,619132,2011-02-08
NQZ0-NQZ1,619132,2011-02-09
NQZ0-NQZ1,619132,2011-02-10
NQZ0-NQZ1,619132,2011-02-11
NQZ0-NQZ1,619132,2011-02-12
NQZ0-NQZ1,619132,2011-02-13
NQZ0-NQZ1,619132,2011-02-14
NQZ0-NQZ1,619132,2011-02-15
NQZ0-NQZ1,619132,2011-02-16
NQZ0-NQZ1,619132,2011-02-17
NQZ0-NQZ1,619132,2011-02-18
NQZ0-NQZ1,619132,2011-02-19
NQZ0-NQZ1,619132,2011-02-20
NQZ0-NQZ1,619132,2011-02-21
NQZ0-NQZ1,619132,2011-02-22
NQZ0-NQZ1,619132,2011-02-23
NQZ0-NQZ1,619132,2011-02-24
NQZ0-NQZ1,619132,2011-02-25
NQZ0-NQZ1,619132,2011-02-26
NQZ0-NQZ1,619132,2011-02-27
NQZ0-NQZ1,619132,2011-02-28
NQZ0-NQZ1,619132,2011-03-01
NQZ0-NQZ1,619132,2011-03-02
NQZ0-NQZ1,619132,2011-03-03
NQZ0-NQZ1,619132,2011-03-04
NQZ0-NQZ1,619132,2011-03-05
NQZ0-NQZ1,619132,2011-03-06
NQZ0-NQZ1,619132,2011-03-07
NQZ0-NQZ1,619132,2011-03-08
NQZ0-NQZ1,619132,2011-03-09
NQZ0-NQZ1,619132,2011-03-10
NQZ0-NQZ1,619132,2011-03-11
NQZ0-NQZ1,619132,2011-03-12
NQZ0-NQZ1,619132,2011-03-13
NQZ0-NQZ1,619132,2011-03-14
NQZ0-NQZ1,619132,2011-03-15
NQZ0-NQZ1,619132,2011-03-16
NQZ0-NQZ1,619132,2011-03-17
NQZ0-NQZ1,619132,2011-03-18
